,ID,AWARDS
1090,577336,[]
1091,17953,[]
1092,17078,[]
1093,17188,[]
1094,17077,[]
1095,403900,[]
1096,632002,[]
1097,17908,[]
1098,17656,[]
1099,324961,[]
1100,17075,[]
1101,17074,[]
1102,17788,[]
1103,17655,[]
1104,1100806,[]
1105,17654,[]
1106,17653,[]
1107,17907,[]
1108,17166,[]
1109,17652,[]
1110,916305,[]
1111,17071,[]
1112,914897,[]
1113,1032435,[]
1114,17651,[]
1115,1153266,[]
1116,17650,[]
1117,17070,[]
1118,17649,[]
1119,591483,[]
1120,17906,[]
1121,17905,[]
1122,17904,[]
1123,17648,[]
1124,17069,[]
1125,17068,[]
1126,513355,[]
1127,885939,[]
1128,17288,[]
1129,17067,[]
1130,405689,"['Soccer (Goalkeeper) for Coventry City, Kidderminster Harriers, Rotherham United and Grimsby Town.']"
1131,17066,[]
1132,17646,[]
1133,414774,[]
1134,877467,[]
1135,17645,[]
1136,17903,[]
1137,535380,[]
1138,17902,[]
1139,17644,[]
1140,17643,[]
1141,17642,[]
1142,17064,[]
1143,986705,[]
1144,17193,"['Toured Zimbabwe with English Counties, 1984/85']"
1145,536330,[]
1146,17641,[]
1147,17639,[]
1148,741165,[]
1149,17901,[]
1150,17900,[]
1151,17638,[]
1152,1030613,[]
1153,1148111,[]
1154,17063,[]
1155,17636,[]
1156,1032171,[]
1157,17635,[]
1158,17634,[]
1159,17633,[]
1160,17061,[]
1161,17062,[]
1162,17059,['Wisden Cricketer of the Year 1892']
1163,17632,[]
1164,1150369,[]
1165,645283,[]
1166,1153475,[]
1167,1115136,[]
1168,1153325,[]
1169,885383,[]
1170,17057,[]
1171,419326,[]
1172,17181,[]
1173,906461,[]
1174,301561,[]
1175,209734,[]
1176,41392,[]
1177,407879,[]
1178,17236,[]
1179,17631,[]
1180,303765,[]
1181,17054,[]
1182,17053,[]
1183,17630,[]
1184,17956,[]
1185,17189,[]
1186,17629,[]
1187,1112646,[]
1188,17628,[]
1189,290410,[]
1190,17627,[]
1191,17626,[]
1192,17625,[]
1193,17052,[]
1194,17898,[]
1195,1036859,[]
1196,17964,[]
1197,17806,[]
1198,17051,[]
1199,17624,[]
1200,17623,[]
1201,17897,[]
1202,17896,[]
1203,568731,[]
1204,338652,[]
1205,1037361,[]
1206,17044,[]
1207,17622,[]
